[PAYEMS | 1/127 | month_open] 2016-01 as of 2016-01-01
[UNRATE | 32/127 | after_week_2] 2018-08 as of 2018-08-14
[UNRATE | 32/127 | month_end] 2018-08 as of 2018-08-31
[UNRATE | 32/127 | pre_employment_report] 2018-08 as of 2018-09-06
[UNRATE | 33/127 | month_open] 2018-09 as of 2018-09-01
[UNRATE | 33/127 | after_week_1] 2018-09 as of 2018-09-07
[UNRATE | 33/127 | after_week_2] 2018-09 as of 2018-09-14
[UNRATE | 33/127 | month_end] 2018-09 as of 2018-09-30
[UNRATE | 33/127 | pre_employment_report] 2018-09 as of 2018-10-04
[UNRATE | 34/127 | month_open] 2018-10 as of 2018-10-01
[UNRATE | 34/127 | after_week_1] 2018-10 as of 2018-10-07
[UNRATE | 34/127 | after_week_2] 2018-10 as of 2018-10-14
[UNRATE | 34/127 | month_end] 2018-10 as of 2018-10-31
[UNRATE | 34/127 | pre_employment_report] 2018-10 as of 2018-11-01
[UNRATE | 35/127 | month_open] 2018-11 as of 2018-11-01
[UNRATE | 35/127 | after_week_1] 2018-11 as of 2018-11-07
[UNRATE | 35/127 | after_week_2] 2018-11 as of 2018-11-14
[UNRATE | 35/127 | month_end] 2018-11 as of 2018-11-30
[UNRATE | 35/127 | pre_employment_report] 2018-11 as of 2018-12-06
[UNRATE | 36/127 | month_open] 2018-12 as of 2018-12-01
[UNRATE | 36/127 | after_week_1] 2018-12 as of 2018-12-07
[UNRATE | 36/127 | after_week_2] 2018-12 as of 2018-12-14
[UNRATE | 36/127 | month_end] 2018-12 as of 2018-12-31
[UNRATE | 36/127 | pre_employment_report] 2018-12 as of 2019-01-03
[UNRATE | 37/127 | month_open] 2019-01 as of 2019-01-01
[UNRATE | 37/127 | after_week_1] 2019-01 as of 2019-01-07
[UNRATE | 37/127 | after_week_2] 2019-01 as of 2019-01-14
[UNRATE | 37/127 | month_end] 2019-01 as of 2019-01-31
[UNRATE | 37/127 | pre_employment_report] 2019-01 as of 2019-01-31
[UNRATE | 38/127 | month_open] 2019-02 as of 2019-02-01
[UNRATE | 38/127 | after_week_1] 2019-02 as of 2019-02-07
[UNRATE | 38/127 | after_week_2] 2019-02 as of 2019-02-14
[UNRATE | 38/127 | month_end] 2019-02 as of 2019-02-28
[UNRATE | 38/127 | pre_employment_report] 2019-02 as of 2019-03-07
[UNRATE | 39/127 | month_open] 2019-03 as of 2019-03-01
[UNRATE | 39/127 | after_week_1] 2019-03 as of 2019-03-07
[UNRATE | 39/127 | after_week_2] 2019-03 as of 2019-03-14
[UNRATE | 39/127 | month_end] 2019-03 as of 2019-03-31
[UNRATE | 39/127 | pre_employment_report] 2019-03 as of 2019-04-04
[UNRATE | 40/127 | month_open] 2019-04 as of 2019-04-01
[UNRATE | 40/127 | after_week_1] 2019-04 as of 2019-04-07
[UNRATE | 40/127 | after_week_2] 2019-04 as of 2019-04-14
[UNRATE | 40/127 | month_end] 2019-04 as of 2019-04-30
[UNRATE | 40/127 | pre_employment_report] 2019-04 as of 2019-05-02
[UNRATE | 41/127 | month_open] 2019-05 as of 2019-05-01
[UNRATE | 41/127 | after_week_1] 2019-05 as of 2019-05-07
[UNRATE | 41/127 | after_week_2] 2019-05 as of 2019-05-14
[UNRATE | 41/127 | month_end] 2019-05 as of 2019-05-31
[UNRATE | 41/127 | pre_employment_report] 2019-05 as of 2019-06-06
[UNRATE | 42/127 | month_open] 2019-06 as of 2019-06-01
[UNRATE | 42/127 | after_week_1] 2019-06 as of 2019-06-07
[UNRATE | 42/127 | after_week_2] 2019-06 as of 2019-06-14
[UNRATE | 42/127 | month_end] 2019-06 as of 2019-06-30
[UNRATE | 42/127 | pre_employment_report] 2019-06 as of 2019-07-04
[UNRATE | 43/127 | month_open] 2019-07 as of 2019-07-01
[UNRATE | 43/127 | after_week_1] 2019-07 as of 2019-07-07
[UNRATE | 43/127 | after_week_2] 2019-07 as of 2019-07-14
[UNRATE | 43/127 | month_end] 2019-07 as of 2019-07-31
[UNRATE | 43/127 | pre_employment_report] 2019-07 as of 2019-08-01
[UNRATE | 44/127 | month_open] 2019-08 as of 2019-08-01
[UNRATE | 44/127 | after_week_1] 2019-08 as of 2019-08-07
[UNRATE | 44/127 | after_week_2] 2019-08 as of 2019-08-14
[UNRATE | 44/127 | month_end] 2019-08 as of 2019-08-31
[UNRATE | 44/127 | pre_employment_report] 2019-08 as of 2019-09-05
[UNRATE | 45/127 | month_open] 2019-09 as of 2019-09-01
[UNRATE | 45/127 | after_week_1] 2019-09 as of 2019-09-07
[UNRATE | 45/127 | after_week_2] 2019-09 as of 2019-09-14
[UNRATE | 45/127 | month_end] 2019-09 as of 2019-09-30
[UNRATE | 45/127 | pre_employment_report] 2019-09 as of 2019-10-03
[UNRATE | 46/127 | month_open] 2019-10 as of 2019-10-01
[UNRATE | 46/127 | after_week_1] 2019-10 as of 2019-10-07
[UNRATE | 46/127 | after_week_2] 2019-10 as of 2019-10-14
[UNRATE | 46/127 | month_end] 2019-10 as of 2019-10-31
[UNRATE | 46/127 | pre_employment_report] 2019-10 as of 2019-10-31
[UNRATE | 47/127 | month_open] 2019-11 as of 2019-11-01
[UNRATE | 47/127 | after_week_1] 2019-11 as of 2019-11-07
[UNRATE | 47/127 | after_week_2] 2019-11 as of 2019-11-14
[UNRATE | 47/127 | month_end] 2019-11 as of 2019-11-30
[UNRATE | 47/127 | pre_employment_report] 2019-11 as of 2019-12-05
[UNRATE | 48/127 | month_open] 2019-12 as of 2019-12-01
[UNRATE | 48/127 | after_week_1] 2019-12 as of 2019-12-07
[UNRATE | 48/127 | after_week_2] 2019-12 as of 2019-12-14
[UNRATE | 48/127 | month_end] 2019-12 as of 2019-12-31
[UNRATE | 48/127 | pre_employment_report] 2019-12 as of 2020-01-09
[UNRATE | 49/127 | month_open] 2020-01 as of 2020-01-01
[UNRATE | 49/127 | after_week_1] 2020-01 as of 2020-01-07
[UNRATE | 49/127 | after_week_2] 2020-01 as of 2020-01-14
[UNRATE | 49/127 | month_end] 2020-01 as of 2020-01-31
[UNRATE | 49/127 | pre_employment_report] 2020-01 as of 2020-02-06
[UNRATE | 50/127 | month_open] 2020-02 as of 2020-02-01
[UNRATE | 50/127 | after_week_1] 2020-02 as of 2020-02-07
[UNRATE | 50/127 | after_week_2] 2020-02 as of 2020-02-14
[UNRATE | 50/127 | month_end] 2020-02 as of 2020-02-29
[UNRATE | 50/127 | pre_employment_report] 2020-02 as of 2020-03-05
[UNRATE | 51/127 | month_open] 2020-03 as of 2020-03-01
[UNRATE | 51/127 | after_week_1] 2020-03 as of 2020-03-07
[UNRATE | 51/127 | after_week_2] 2020-03 as of 2020-03-14
[UNRATE | 51/127 | month_end] 2020-03 as of 2020-03-31
[UNRATE | 51/127 | pre_employment_report] 2020-03 as of 2020-04-02
[UNRATE | 52/127 | month_open] 2020-04 as of 2020-04-01
[UNRATE | 52/127 | after_week_1] 2020-04 as of 2020-04-07
[UNRATE | 52/127 | after_week_2] 2020-04 as of 2020-04-14
[UNRATE | 52/127 | month_end] 2020-04 as of 2020-04-30
[UNRATE | 52/127 | pre_employment_report] 2020-04 as of 2020-05-07
[UNRATE | 53/127 | month_open] 2020-05 as of 2020-05-01
[UNRATE | 53/127 | after_week_1] 2020-05 as of 2020-05-07
[UNRATE | 53/127 | after_week_2] 2020-05 as of 2020-05-14
[UNRATE | 53/127 | month_end] 2020-05 as of 2020-05-31
[UNRATE | 53/127 | pre_employment_report] 2020-05 as of 2020-06-04
[UNRATE | 54/127 | month_open] 2020-06 as of 2020-06-01
[UNRATE | 54/127 | after_week_1] 2020-06 as of 2020-06-07
[UNRATE | 54/127 | after_week_2] 2020-06 as of 2020-06-14
[UNRATE | 54/127 | month_end] 2020-06 as of 2020-06-30
[UNRATE | 54/127 | pre_employment_report] 2020-06 as of 2020-07-01
[UNRATE | 55/127 | month_open] 2020-07 as of 2020-07-01
[UNRATE | 55/127 | after_week_1] 2020-07 as of 2020-07-07
[UNRATE | 55/127 | after_week_2] 2020-07 as of 2020-07-14
[UNRATE | 55/127 | month_end] 2020-07 as of 2020-07-31
[UNRATE | 55/127 | pre_employment_report] 2020-07 as of 2020-08-06
[UNRATE | 56/127 | month_open] 2020-08 as of 2020-08-01
[UNRATE | 56/127 | after_week_1] 2020-08 as of 2020-08-07
[UNRATE | 56/127 | after_week_2] 2020-08 as of 2020-08-14
[UNRATE | 56/127 | month_end] 2020-08 as of 2020-08-31
[UNRATE | 56/127 | pre_employment_report] 2020-08 as of 2020-09-03
[UNRATE | 57/127 | month_open] 2020-09 as of 2020-09-01
[UNRATE | 57/127 | after_week_1] 2020-09 as of 2020-09-07
[UNRATE | 57/127 | after_week_2] 2020-09 as of 2020-09-14
[UNRATE | 57/127 | month_end] 2020-09 as of 2020-09-30
[UNRATE | 57/127 | pre_employment_report] 2020-09 as of 2020-10-01
[UNRATE | 58/127 | month_open] 2020-10 as of 2020-10-01
[UNRATE | 58/127 | after_week_1] 2020-10 as of 2020-10-07
[UNRATE | 58/127 | after_week_2] 2020-10 as of 2020-10-14
[UNRATE | 58/127 | month_end] 2020-10 as of 2020-10-31
[UNRATE | 58/127 | pre_employment_report] 2020-10 as of 2020-11-05
[UNRATE | 59/127 | month_open] 2020-11 as of 2020-11-01
[UNRATE | 59/127 | after_week_1] 2020-11 as of 2020-11-07
[UNRATE | 59/127 | after_week_2] 2020-11 as of 2020-11-14
[UNRATE | 59/127 | month_end] 2020-11 as of 2020-11-30
[UNRATE | 59/127 | pre_employment_report] 2020-11 as of 2020-12-03
[UNRATE | 60/127 | month_open] 2020-12 as of 2020-12-01
[UNRATE | 60/127 | after_week_1] 2020-12 as of 2020-12-07
[UNRATE | 60/127 | after_week_2] 2020-12 as of 2020-12-14
[UNRATE | 60/127 | month_end] 2020-12 as of 2020-12-31
[UNRATE | 60/127 | pre_employment_report] 2020-12 as of 2021-01-07
[UNRATE | 61/127 | month_open] 2021-01 as of 2021-01-01
[UNRATE | 61/127 | after_week_1] 2021-01 as of 2021-01-07
[UNRATE | 61/127 | after_week_2] 2021-01 as of 2021-01-14
[UNRATE | 61/127 | month_end] 2021-01 as of 2021-01-31
[UNRATE | 61/127 | pre_employment_report] 2021-01 as of 2021-02-04
[UNRATE | 62/127 | month_open] 2021-02 as of 2021-02-01
[UNRATE | 62/127 | after_week_1] 2021-02 as of 2021-02-07
[UNRATE | 62/127 | after_week_2] 2021-02 as of 2021-02-14
[UNRATE | 62/127 | month_end] 2021-02 as of 2021-02-28
[UNRATE | 62/127 | pre_employment_report] 2021-02 as of 2021-03-04
[UNRATE | 63/127 | month_open] 2021-03 as of 2021-03-01
[UNRATE | 63/127 | after_week_1] 2021-03 as of 2021-03-07
[UNRATE | 63/127 | after_week_2] 2021-03 as of 2021-03-14
[UNRATE | 63/127 | month_end] 2021-03 as of 2021-03-31
[UNRATE | 63/127 | pre_employment_report] 2021-03 as of 2021-04-01
[UNRATE | 64/127 | month_open] 2021-04 as of 2021-04-01
[UNRATE | 64/127 | after_week_1] 2021-04 as of 2021-04-07
[UNRATE | 64/127 | after_week_2] 2021-04 as of 2021-04-14
[UNRATE | 64/127 | month_end] 2021-04 as of 2021-04-30
[UNRATE | 64/127 | pre_employment_report] 2021-04 as of 2021-05-06
[UNRATE | 65/127 | month_open] 2021-05 as of 2021-05-01
[UNRATE | 65/127 | after_week_1] 2021-05 as of 2021-05-07
[UNRATE | 65/127 | after_week_2] 2021-05 as of 2021-05-14
[UNRATE | 65/127 | month_end] 2021-05 as of 2021-05-31
[UNRATE | 65/127 | pre_employment_report] 2021-05 as of 2021-06-03
[UNRATE | 66/127 | month_open] 2021-06 as of 2021-06-01
[UNRATE | 66/127 | after_week_1] 2021-06 as of 2021-06-07
[UNRATE | 66/127 | after_week_2] 2021-06 as of 2021-06-14
[UNRATE | 66/127 | month_end] 2021-06 as of 2021-06-30
[UNRATE | 66/127 | pre_employment_report] 2021-06 as of 2021-07-01
[UNRATE | 67/127 | month_open] 2021-07 as of 2021-07-01
[UNRATE | 67/127 | after_week_1] 2021-07 as of 2021-07-07
[UNRATE | 67/127 | after_week_2] 2021-07 as of 2021-07-14
[UNRATE | 67/127 | month_end] 2021-07 as of 2021-07-31
[UNRATE | 67/127 | pre_employment_report] 2021-07 as of 2021-08-05
[UNRATE | 68/127 | month_open] 2021-08 as of 2021-08-01
[UNRATE | 68/127 | after_week_1] 2021-08 as of 2021-08-07
[UNRATE | 68/127 | after_week_2] 2021-08 as of 2021-08-14
[UNRATE | 68/127 | month_end] 2021-08 as of 2021-08-31
[UNRATE | 68/127 | pre_employment_report] 2021-08 as of 2021-09-02
[UNRATE | 69/127 | month_open] 2021-09 as of 2021-09-01
[UNRATE | 69/127 | after_week_1] 2021-09 as of 2021-09-07
[UNRATE | 69/127 | after_week_2] 2021-09 as of 2021-09-14
[UNRATE | 69/127 | month_end] 2021-09 as of 2021-09-30
[UNRATE | 69/127 | pre_employment_report] 2021-09 as of 2021-10-07
[UNRATE | 70/127 | month_open] 2021-10 as of 2021-10-01
[UNRATE | 70/127 | after_week_1] 2021-10 as of 2021-10-07
[UNRATE | 70/127 | after_week_2] 2021-10 as of 2021-10-14
[UNRATE | 70/127 | month_end] 2021-10 as of 2021-10-31
[UNRATE | 70/127 | pre_employment_report] 2021-10 as of 2021-11-04
[UNRATE | 71/127 | month_open] 2021-11 as of 2021-11-01
[UNRATE | 71/127 | after_week_1] 2021-11 as of 2021-11-07
[UNRATE | 71/127 | after_week_2] 2021-11 as of 2021-11-14
[UNRATE | 71/127 | month_end] 2021-11 as of 2021-11-30
[UNRATE | 71/127 | pre_employment_report] 2021-11 as of 2021-12-02
[UNRATE | 72/127 | month_open] 2021-12 as of 2021-12-01
[UNRATE | 72/127 | after_week_1] 2021-12 as of 2021-12-07
[UNRATE | 72/127 | after_week_2] 2021-12 as of 2021-12-14
[UNRATE | 72/127 | month_end] 2021-12 as of 2021-12-31
[UNRATE | 72/127 | pre_employment_report] 2021-12 as of 2022-01-06
[UNRATE | 73/127 | month_open] 2022-01 as of 2022-01-01
[UNRATE | 73/127 | after_week_1] 2022-01 as of 2022-01-07
[UNRATE | 73/127 | after_week_2] 2022-01 as of 2022-01-14
[UNRATE | 73/127 | month_end] 2022-01 as of 2022-01-31
[UNRATE | 73/127 | pre_employment_report] 2022-01 as of 2022-02-03
[UNRATE | 74/127 | month_open] 2022-02 as of 2022-02-01
[UNRATE | 74/127 | after_week_1] 2022-02 as of 2022-02-07
[UNRATE | 74/127 | after_week_2] 2022-02 as of 2022-02-14
[UNRATE | 74/127 | month_end] 2022-02 as of 2022-02-28
[UNRATE | 74/127 | pre_employment_report] 2022-02 as of 2022-03-03
[UNRATE | 75/127 | month_open] 2022-03 as of 2022-03-01
[UNRATE | 75/127 | after_week_1] 2022-03 as of 2022-03-07
[UNRATE | 75/127 | after_week_2] 2022-03 as of 2022-03-14
[UNRATE | 75/127 | month_end] 2022-03 as of 2022-03-31
[UNRATE | 75/127 | pre_employment_report] 2022-03 as of 2022-03-31
[UNRATE | 76/127 | month_open] 2022-04 as of 2022-04-01
[UNRATE | 76/127 | after_week_1] 2022-04 as of 2022-04-07
[UNRATE | 76/127 | after_week_2] 2022-04 as of 2022-04-14
[UNRATE | 76/127 | month_end] 2022-04 as of 2022-04-30
[UNRATE | 76/127 | pre_employment_report] 2022-04 as of 2022-05-05
[UNRATE | 77/127 | month_open] 2022-05 as of 2022-05-01
[UNRATE | 77/127 | after_week_1] 2022-05 as of 2022-05-07
[UNRATE | 77/127 | after_week_2] 2022-05 as of 2022-05-14
[UNRATE | 77/127 | month_end] 2022-05 as of 2022-05-31
[UNRATE | 77/127 | pre_employment_report] 2022-05 as of 2022-06-02
[UNRATE | 78/127 | month_open] 2022-06 as of 2022-06-01
[UNRATE | 78/127 | after_week_1] 2022-06 as of 2022-06-07
[UNRATE | 78/127 | after_week_2] 2022-06 as of 2022-06-14
[UNRATE | 78/127 | month_end] 2022-06 as of 2022-06-30
[UNRATE | 78/127 | pre_employment_report] 2022-06 as of 2022-07-07
[UNRATE | 79/127 | month_open] 2022-07 as of 2022-07-01
[UNRATE | 79/127 | after_week_1] 2022-07 as of 2022-07-07
[UNRATE | 79/127 | after_week_2] 2022-07 as of 2022-07-14
[UNRATE | 79/127 | month_end] 2022-07 as of 2022-07-31
[UNRATE | 79/127 | pre_employment_report] 2022-07 as of 2022-08-04
[UNRATE | 80/127 | month_open] 2022-08 as of 2022-08-01
[UNRATE | 80/127 | after_week_1] 2022-08 as of 2022-08-07
[UNRATE | 80/127 | after_week_2] 2022-08 as of 2022-08-14
[UNRATE | 80/127 | month_end] 2022-08 as of 2022-08-31
[UNRATE | 80/127 | pre_employment_report] 2022-08 as of 2022-09-01
[UNRATE | 81/127 | month_open] 2022-09 as of 2022-09-01
[UNRATE | 81/127 | after_week_1] 2022-09 as of 2022-09-07
[UNRATE | 81/127 | after_week_2] 2022-09 as of 2022-09-14
[UNRATE | 81/127 | month_end] 2022-09 as of 2022-09-30
[UNRATE | 81/127 | pre_employment_report] 2022-09 as of 2022-10-06
[UNRATE | 82/127 | month_open] 2022-10 as of 2022-10-01
[UNRATE | 82/127 | after_week_1] 2022-10 as of 2022-10-07
[UNRATE | 82/127 | after_week_2] 2022-10 as of 2022-10-14
[UNRATE | 82/127 | month_end] 2022-10 as of 2022-10-31
[UNRATE | 82/127 | pre_employment_report] 2022-10 as of 2022-11-03
[UNRATE | 83/127 | month_open] 2022-11 as of 2022-11-01
[UNRATE | 83/127 | after_week_1] 2022-11 as of 2022-11-07
[UNRATE | 83/127 | after_week_2] 2022-11 as of 2022-11-14
[UNRATE | 83/127 | month_end] 2022-11 as of 2022-11-30
[UNRATE | 83/127 | pre_employment_report] 2022-11 as of 2022-12-01
[UNRATE | 84/127 | month_open] 2022-12 as of 2022-12-01
[UNRATE | 84/127 | after_week_1] 2022-12 as of 2022-12-07
[UNRATE | 84/127 | after_week_2] 2022-12 as of 2022-12-14
[UNRATE | 84/127 | month_end] 2022-12 as of 2022-12-31
[UNRATE | 84/127 | pre_employment_report] 2022-12 as of 2023-01-05
[UNRATE | 85/127 | month_open] 2023-01 as of 2023-01-01
[UNRATE | 85/127 | after_week_1] 2023-01 as of 2023-01-07
[UNRATE | 85/127 | after_week_2] 2023-01 as of 2023-01-14
[UNRATE | 85/127 | month_end] 2023-01 as of 2023-01-31
[UNRATE | 85/127 | pre_employment_report] 2023-01 as of 2023-02-02
[UNRATE | 86/127 | month_open] 2023-02 as of 2023-02-01
[UNRATE | 86/127 | after_week_1] 2023-02 as of 2023-02-07
[UNRATE | 86/127 | after_week_2] 2023-02 as of 2023-02-14
[UNRATE | 86/127 | month_end] 2023-02 as of 2023-02-28
[UNRATE | 86/127 | pre_employment_report] 2023-02 as of 2023-03-09
[UNRATE | 87/127 | month_open] 2023-03 as of 2023-03-01
[UNRATE | 87/127 | after_week_1] 2023-03 as of 2023-03-07
[UNRATE | 87/127 | after_week_2] 2023-03 as of 2023-03-14
[UNRATE | 87/127 | month_end] 2023-03 as of 2023-03-31
[UNRATE | 87/127 | pre_employment_report] 2023-03 as of 2023-04-06
[UNRATE | 88/127 | month_open] 2023-04 as of 2023-04-01
[UNRATE | 88/127 | after_week_1] 2023-04 as of 2023-04-07
[UNRATE | 88/127 | after_week_2] 2023-04 as of 2023-04-14
[UNRATE | 88/127 | month_end] 2023-04 as of 2023-04-30
[UNRATE | 88/127 | pre_employment_report] 2023-04 as of 2023-05-04
[UNRATE | 89/127 | month_open] 2023-05 as of 2023-05-01
[UNRATE | 89/127 | after_week_1] 2023-05 as of 2023-05-07
[UNRATE | 89/127 | after_week_2] 2023-05 as of 2023-05-14
[UNRATE | 89/127 | month_end] 2023-05 as of 2023-05-31
[UNRATE | 89/127 | pre_employment_report] 2023-05 as of 2023-06-01
[UNRATE | 90/127 | month_open] 2023-06 as of 2023-06-01
[UNRATE | 90/127 | after_week_1] 2023-06 as of 2023-06-07
[UNRATE | 90/127 | after_week_2] 2023-06 as of 2023-06-14
[UNRATE | 90/127 | month_end] 2023-06 as of 2023-06-30
[UNRATE | 90/127 | pre_employment_report] 2023-06 as of 2023-07-06
[UNRATE | 91/127 | month_open] 2023-07 as of 2023-07-01
[UNRATE | 91/127 | after_week_1] 2023-07 as of 2023-07-07
[UNRATE | 91/127 | after_week_2] 2023-07 as of 2023-07-14
[UNRATE | 91/127 | month_end] 2023-07 as of 2023-07-31
[UNRATE | 91/127 | pre_employment_report] 2023-07 as of 2023-08-03
[UNRATE | 92/127 | month_open] 2023-08 as of 2023-08-01
[UNRATE | 92/127 | after_week_1] 2023-08 as of 2023-08-07
[UNRATE | 92/127 | after_week_2] 2023-08 as of 2023-08-14
[UNRATE | 92/127 | month_end] 2023-08 as of 2023-08-31
[UNRATE | 92/127 | pre_employment_report] 2023-08 as of 2023-08-31
[UNRATE | 93/127 | month_open] 2023-09 as of 2023-09-01
[UNRATE | 93/127 | after_week_1] 2023-09 as of 2023-09-07
[UNRATE | 93/127 | after_week_2] 2023-09 as of 2023-09-14
[UNRATE | 93/127 | month_end] 2023-09 as of 2023-09-30
[UNRATE | 93/127 | pre_employment_report] 2023-09 as of 2023-10-05
[UNRATE | 94/127 | month_open] 2023-10 as of 2023-10-01
[UNRATE | 94/127 | after_week_1] 2023-10 as of 2023-10-07
[UNRATE | 94/127 | after_week_2] 2023-10 as of 2023-10-14
[UNRATE | 94/127 | month_end] 2023-10 as of 2023-10-31
[UNRATE | 94/127 | pre_employment_report] 2023-10 as of 2023-11-02
[UNRATE | 95/127 | month_open] 2023-11 as of 2023-11-01
[UNRATE | 95/127 | after_week_1] 2023-11 as of 2023-11-07
[UNRATE | 95/127 | after_week_2] 2023-11 as of 2023-11-14
[UNRATE | 95/127 | month_end] 2023-11 as of 2023-11-30
[UNRATE | 95/127 | pre_employment_report] 2023-11 as of 2023-12-07
[UNRATE | 96/127 | month_open] 2023-12 as of 2023-12-01
[UNRATE | 96/127 | after_week_1] 2023-12 as of 2023-12-07
[UNRATE | 96/127 | after_week_2] 2023-12 as of 2023-12-14
[UNRATE | 96/127 | month_end] 2023-12 as of 2023-12-31
[UNRATE | 96/127 | pre_employment_report] 2023-12 as of 2024-01-04
[UNRATE | 97/127 | month_open] 2024-01 as of 2024-01-01
[UNRATE | 97/127 | after_week_1] 2024-01 as of 2024-01-07
[UNRATE | 97/127 | after_week_2] 2024-01 as of 2024-01-14
[UNRATE | 97/127 | month_end] 2024-01 as of 2024-01-31
[UNRATE | 97/127 | pre_employment_report] 2024-01 as of 2024-02-01
[UNRATE | 98/127 | month_open] 2024-02 as of 2024-02-01
[UNRATE | 98/127 | after_week_1] 2024-02 as of 2024-02-07
[UNRATE | 98/127 | after_week_2] 2024-02 as of 2024-02-14
[UNRATE | 98/127 | month_end] 2024-02 as of 2024-02-29
[UNRATE | 98/127 | pre_employment_report] 2024-02 as of 2024-03-07
[UNRATE | 99/127 | month_open] 2024-03 as of 2024-03-01
[UNRATE | 99/127 | after_week_1] 2024-03 as of 2024-03-07
[UNRATE | 99/127 | after_week_2] 2024-03 as of 2024-03-14
[UNRATE | 99/127 | month_end] 2024-03 as of 2024-03-31
[UNRATE | 99/127 | pre_employment_report] 2024-03 as of 2024-04-04
[UNRATE | 100/127 | month_open] 2024-04 as of 2024-04-01
[UNRATE | 100/127 | after_week_1] 2024-04 as of 2024-04-07
[UNRATE | 100/127 | after_week_2] 2024-04 as of 2024-04-14
[UNRATE | 100/127 | month_end] 2024-04 as of 2024-04-30
[UNRATE | 100/127 | pre_employment_report] 2024-04 as of 2024-05-02
[UNRATE | 101/127 | month_open] 2024-05 as of 2024-05-01
[UNRATE | 101/127 | after_week_1] 2024-05 as of 2024-05-07
[UNRATE | 101/127 | after_week_2] 2024-05 as of 2024-05-14
[UNRATE | 101/127 | month_end] 2024-05 as of 2024-05-31
[UNRATE | 101/127 | pre_employment_report] 2024-05 as of 2024-06-06
[UNRATE | 102/127 | month_open] 2024-06 as of 2024-06-01
[UNRATE | 102/127 | after_week_1] 2024-06 as of 2024-06-07
[UNRATE | 102/127 | after_week_2] 2024-06 as of 2024-06-14
[UNRATE | 102/127 | month_end] 2024-06 as of 2024-06-30
[UNRATE | 102/127 | pre_employment_report] 2024-06 as of 2024-07-04
[UNRATE | 103/127 | month_open] 2024-07 as of 2024-07-01
[UNRATE | 103/127 | after_week_1] 2024-07 as of 2024-07-07
[UNRATE | 103/127 | after_week_2] 2024-07 as of 2024-07-14
[UNRATE | 103/127 | month_end] 2024-07 as of 2024-07-31
[UNRATE | 103/127 | pre_employment_report] 2024-07 as of 2024-08-01
[UNRATE | 104/127 | month_open] 2024-08 as of 2024-08-01
[UNRATE | 104/127 | after_week_1] 2024-08 as of 2024-08-07
[UNRATE | 104/127 | after_week_2] 2024-08 as of 2024-08-14
[UNRATE | 104/127 | month_end] 2024-08 as of 2024-08-31
[UNRATE | 104/127 | pre_employment_report] 2024-08 as of 2024-09-05
[UNRATE | 105/127 | month_open] 2024-09 as of 2024-09-01
[UNRATE | 105/127 | after_week_1] 2024-09 as of 2024-09-07
[UNRATE | 105/127 | after_week_2] 2024-09 as of 2024-09-14
[UNRATE | 105/127 | month_end] 2024-09 as of 2024-09-30
[UNRATE | 105/127 | pre_employment_report] 2024-09 as of 2024-10-03
[UNRATE | 106/127 | month_open] 2024-10 as of 2024-10-01
[UNRATE | 106/127 | after_week_1] 2024-10 as of 2024-10-07
[UNRATE | 106/127 | after_week_2] 2024-10 as of 2024-10-14
[UNRATE | 106/127 | month_end] 2024-10 as of 2024-10-31
[UNRATE | 106/127 | pre_employment_report] 2024-10 as of 2024-10-31
[UNRATE | 107/127 | month_open] 2024-11 as of 2024-11-01
[UNRATE | 107/127 | after_week_1] 2024-11 as of 2024-11-07
[UNRATE | 107/127 | after_week_2] 2024-11 as of 2024-11-14
[UNRATE | 107/127 | month_end] 2024-11 as of 2024-11-30
[UNRATE | 107/127 | pre_employment_report] 2024-11 as of 2024-12-05
[UNRATE | 108/127 | month_open] 2024-12 as of 2024-12-01
[UNRATE | 108/127 | after_week_1] 2024-12 as of 2024-12-07
[UNRATE | 108/127 | after_week_2] 2024-12 as of 2024-12-14
[UNRATE | 108/127 | month_end] 2024-12 as of 2024-12-31
[UNRATE | 108/127 | pre_employment_report] 2024-12 as of 2025-01-09
[UNRATE | 109/127 | month_open] 2025-01 as of 2025-01-01
[UNRATE | 109/127 | after_week_1] 2025-01 as of 2025-01-07
[UNRATE | 109/127 | after_week_2] 2025-01 as of 2025-01-14
[UNRATE | 109/127 | month_end] 2025-01 as of 2025-01-31
[UNRATE | 109/127 | pre_employment_report] 2025-01 as of 2025-02-06
[UNRATE | 110/127 | month_open] 2025-02 as of 2025-02-01
[UNRATE | 110/127 | after_week_1] 2025-02 as of 2025-02-07
[UNRATE | 110/127 | after_week_2] 2025-02 as of 2025-02-14
[UNRATE | 110/127 | month_end] 2025-02 as of 2025-02-28
[UNRATE | 110/127 | pre_employment_report] 2025-02 as of 2025-03-06
[UNRATE | 111/127 | month_open] 2025-03 as of 2025-03-01
[UNRATE | 111/127 | after_week_1] 2025-03 as of 2025-03-07
[UNRATE | 111/127 | after_week_2] 2025-03 as of 2025-03-14
[UNRATE | 111/127 | month_end] 2025-03 as of 2025-03-31
[UNRATE | 111/127 | pre_employment_report] 2025-03 as of 2025-04-03
[UNRATE | 112/127 | month_open] 2025-04 as of 2025-04-01
[UNRATE | 112/127 | after_week_1] 2025-04 as of 2025-04-07
[UNRATE | 112/127 | after_week_2] 2025-04 as of 2025-04-14
[UNRATE | 112/127 | month_end] 2025-04 as of 2025-04-30
[UNRATE | 112/127 | pre_employment_report] 2025-04 as of 2025-05-01
